EDO,MUN,NOMBRE_MUNICIPIO
12,67,TLAPA DE COMONFORT
12,64,TLACOAPA
7,57,MOTOZINTLA
8,29,GUADALUPE Y CALVO
8,30,GUAZAPARES
14,59,LA MANZANILLA DE LA PAZ
14,10,ATEMAJAC DE BRIZUELA
14,113,VALLE DE JUAREZ
14,71,QUITUPAN
20,163,SAN JOSE AYUQUILA
8,44,MATAMOROS
8,45,MEOQUI
9,6,IZTACALCO
9,7,IZTAPALAPA
9,9,MILPA ALTA
28,5,BURGOS
15,24,CUAUTITLAN
21,187,TLAXCO
21,63,EPATLAN
21,21,ATZALA
28,40,VALLE HERMOSO
28,38,TAMPICO
28,35,SAN FERNANDO
21,129,SAN JOSE CHIAPA
21,145,SAN SALVADOR HUIXCOLOTLA
21,182,TLANEPANTLA
28,4,ANTIGUO MORELOS
9,16,MIGUEL HIDALGO
9,12,TLALPAN
9,13,XOCHIMILCO
9,4,CUAJIMALPA DE MORELOS
9,5,GUSTAVO A. MADERO
9,8,LA MAGDALENA CONTRERAS
9,10,ALVARO OBREGON
9,11,TLAHUAC
10,15,NAZAS
10,3,CONETO DE COMONFORT
10,35,TAMAZULA
10,2,CANELAS
10,33,SANTIAGO PAPASQUIARO
10,18,OCAMPO
10,10,HIDALGO
10,13,MAPIMI
10,9,GUANACEVI
17,14,MAZATEPEC
10,38,TOPIA
10,27,SAN DIMAS
10,12,LERDO
10,7,GOMEZ PALACIO
10,16,NOMBRE DE DIOS
10,4,CUENCAME
10,1,CANATLAN
10,24,PUEBLO NUEVO
10,14,MEZQUITAL
10,6,SIMON BOLIVAR
29,18,CONTLA DE JUAN CUAMATZI
30,189,TUXTILLA
11,15,GUANAJUATO
11,9,COMONFORT
11,12,CUERAMARO
12,30,EDUARDO NERI
12,22,COYUCA DE CATALAN
12,23,CUAJINICUILAPA
12,24,CUALAC
12,27,CUTZAMALA DE PINZON
12,28,CHILAPA DE ALVAREZ
12,43,MARTIR DE CUILAPAN
12,44,METLATONOC
12,49,PETATLAN
12,18,COPALA
12,19,COPALILLO
12,20,COPANATOYAC
12,21,COYUCA DE BENITEZ
12,63,TLACOACHISTLAHUACA
12,65,TLALCHAPA
12,66,TLALIXTAQUILLA DE MALDONADO
12,68,TLAPEHUALA
12,71,XOCHIHUEHUETLAN
12,46,OLINALA
12,53,SAN LUIS ACATLAN
13,26,HUAZALINGO
13,27,HUEHUETLA
13,20,ELOXOCHITLAN
13,1,ACATLAN
13,2,ACAXOCHITLAN
13,3,ACTOPAN
13,4,AGUA BLANCA DE ITURBIDE
13,5,AJACUBA
13,6,ALFAJAYUCAN
13,7,ALMOLOYA
13,8,APAN
20,530,SANTOS REYES NOPALA
13,49,PROGRESO DE OBREGON
13,50,SAN AGUSTIN METZQUITITLAN
13,42,MOLANGO DE ESCAMILLA
13,24,HUASCA DE OCAMPO
13,25,HUAUTLA
13,45,OMITLAN DE JUAREZ
13,46,PACULA
13,48,PISAFLORES
17,15,MIACATLAN
19,13,CHINA
7,118,SANTIAGO EL PINAR
13,78,XOCHIATIPAN
13,79,XOCHICOATLAN
13,56,SANTIAGO TULANTEPEC DE LUGO GUERRERO
13,63,TEPEJI DEL RIO DE OCAMPO
13,84,ZIMAPAN
13,10,ATLAPEXCO
13,51,SAN AGUSTIN TLAXIACA
13,43,NICOLAS FLORES
13,39,MINERAL DEL MONTE
13,83,ZEMPOALA
13,40,MINERAL DE LA REFORMA
13,47,PACHUCA DE SOTO
13,80,YAHUALICA
13,72,TLANCHINOL
13,70,TLAHUILTEPA
30,193,VILLA ALDAMA
13,75,TULA DE ALLENDE
13,57,SINGUILUCAN
14,12,ATENGUILLO
14,11,ATENGO
17,5,COATLAN DEL RIO
14,40,GUACHINANGO
20,494,SANTIAGO TILLO
14,98,TLAJOMULCO DE ZUÐIGA
14,72,EL SALTO
14,99,SAN PEDRO TLAQUEPAQUE
14,45,LA HUERTA
14,22,CIHUATLAN
14,41,GUADALAJARA
15,111,VALLE DE BRAVO
15,118,ZACUALPAN
15,123,LUVIANOS
15,79,SANTO TOMAS
15,66,OTUMBA
15,13,ATIZAPAN DE ZARAGOZA
15,38,HUIXQUILUCAN
15,46,JILOTEPEC
15,58,NAUCALPAN DE JUAREZ
15,67,OTZOLOAPAN
15,37,HUEYPOXTLA
15,60,NEZAHUALCOYOTL
15,94,TEPETLAOXTOC
15,120,ZUMPAHUACAN
15,41,IXTAPAN DE LA SAL
15,53,MALINALCO
15,105,TLALNEPANTLA DE BAZ
15,83,TEJUPILCO
15,106,TLATLAYA
30,19,AQUILA
15,112,VILLA DE ALLENDE
15,103,TIMILPAN
19,39,MONTEMORELOS
15,49,JOCOTITLAN
15,43,IXTLAHUACA
15,91,TENANGO DEL VALLE
15,102,TIANGUISTENCO
15,26,CHALCO
15,86,TEMASCALCINGO
15,29,CHIAUTLA
15,57,MORELOS
15,124,SAN JOSE DEL RINCON
15,115,VILLA VICTORIA
15,113,VILLA DEL CARBON
15,34,ECATEPEC DE MORELOS
15,96,TEPOTZOTLAN
15,5,ALMOLOYA DE JUAREZ
15,114,VILLA GUERRERO
15,18,CALIMAYA
22,11,PEDRO ESCOBEDO
20,152,SAN ILDEFONSO SOLA
20,536,VILLA SOLA DE VEGA
20,82,SAN AGUSTIN LOXICHA
20,366,SANTA CATARINA LOXICHA
20,344,SAN SEBASTIAN RIO HONDO
20,92,SAN ANDRES PAXTLAN
20,469,SANTIAGO JOCOTEPEC
20,158,SAN JERONIMO SOSOLA
20,140,SAN FRANCISCO IXHUATAN
20,488,SANTIAGO TENANGO
22,17,TEQUISQUIAPAN
23,11,PUERTO MORELOS
20,350,SAN VICENTE COATLAN
20,187,CHIQUIHUITLAN DE BENITO JUAREZ
24,2,ALAQUINES
20,3,ANIMAS TRUJANO
20,376,SANTA CRUZ AMILPAS
20,489,SANTIAGO TEPETLAPA
16,113,ZITACUARO
16,78,SAN LUCAS
16,30,ECUANDUREO
16,2,AGUILILLA
16,111,ZINAPECUARO
16,109,ZAMORA
16,55,MORELOS
16,27,CHUCANDIRO
16,36,HUANDACAREO
16,81,SENGUIO
16,12,BUENAVISTA
16,6,APATZINGAN
17,9,HUITZILAC
24,45,VENADO
24,34,SANTO DOMINGO
24,25,SALINAS
24,51,VILLA DE REYES
24,56,ZARAGOZA
24,5,CARDENAS
24,7,CEDRAL
24,44,VANEGAS
24,6,CATORCE
24,57,EL NARANJO
24,10,CIUDAD DEL MAIZ
20,298,SAN PEDRO AMUZGOS
20,238,SAN MARTIN DE LOS CANSECOS
21,72,HUAUCHINANGO
21,19,ATLIXCO
20,277,SAN MIGUEL SUCHIXTEPEC
20,403,VILLA DE CHILAPA DE DIAZ
20,438,SANTA MARIA TLAHUITOLTEPEC
20,138,SAN FRANCISCO DEL MAR
20,263,SAN MIGUEL CHIMALAPA
20,509,SANTO DOMINGO INGENIO
20,43,HEROICA CIUDAD DE JUCHITAN DE ZARAGOZA
20,413,SANTA MARIA GUIENAGATI
20,64,NEJAPA DE MADERO
20,156,SAN JERONIMO COATLAN
20,378,SANTA CRUZ ITUNDUJIA
20,417,SANTA MARIA IXCATLAN
20,471,SANTIAGO LACHIGUIRI
20,35,GUEVEA DE HUMBOLDT
20,406,SANTA MARIA COLOTEPEC
20,478,SANTIAGO MINAS
20,179,SAN JUAN BAUTISTA SUCHITEPEC
20,432,SANTA MARIA TECOMAVACA
20,467,SANTIAGO IXTAYUTLA
20,394,SANTA LUCIA MONTEVERDE
20,490,SANTIAGO TETEPEC
20,542,TATALTEPEC DE VALDES
20,501,SANTIAGO YOSONDUA
20,203,SAN JUAN LACHAO
20,328,SAN PEDRO TEUTILA
20,316,SAN PEDRO MIXTEPEC
20,382,SANTA CRUZ TACACHE DE MINA
20,153,SAN ILDEFONSO VILLA ALTA
20,506,SANTO DOMINGO ARMENTA
20,304,SAN PEDRO EL ALTO
20,251,SAN MATEO PIÐAS
20,51,MAGDALENA TEQUISISTLAN
20,365,SANTA CATARINA LACHATAO
20,363,SANTA CATARINA IXTEPEJI
20,487,SANTIAGO TAPEXTLA
20,24,COSOLAPA
20,539,VILLA DE TAMAZULAPAM DEL PROGRESO
20,517,SANTO DOMINGO TEPUXTEPEC
20,436,SANTA MARIA TEPANTLALI
20,41,CIUDAD IXTEPEC
20,4,ASUNCION CACALOTEPEC
20,201,SAN JUAN JUQUILA MIXES
20,231,SAN LUCAS CAMOTLAN
20,180,SAN JUAN BAUTISTA TLACHICHILCO
20,108,SAN ANTONIO TEPETLAPA
20,342,SAN SEBASTIAN IXCAPA
20,475,SANTIAGO LLANO GRANDE
20,271,SAN MIGUEL PANIXTLAHUACA
20,213,SAN JUAN QUIAHIJE
20,79,SAN AGUSTIN CHAYUCO
20,486,SANTIAGO TAMAZOLA
20,479,SANTIAGO NACALTEPEC
20,22,CONCEPCION PAPALO
20,416,SANTA MARIA IPALAPA
20,554,TOTONTEPEC VILLA DE MORELOS
20,564,YOGANA
20,460,SANTIAGO CHOAPAM
20,166,SAN JOSE ESTANCIA GRANDE
20,96,SAN ANDRES TEPETLAPA
20,549,H VILLA TEZOATLAN SEGURA Y LUNA CUNA IND OAX
20,333,SAN PEDRO Y SAN PABLO AYUTLA
20,220,SAN JUAN TEPEUXILA
20,1,ABEJONES
20,207,SAN JUAN MAZATLAN
20,192,SAN JUAN COTZOCON
20,55,MARISCALA DE JUAREZ
20,310,SAN PEDRO JICAYAN
20,260,SAN MIGUEL AMATITLAN
20,190,SAN JUAN COLORADO
20,19,COICOYAN DE LAS FLORES
20,214,SAN JUAN QUIOTEPEC
20,337,SAN PEDRO YOLOX
20,236,SAN MARCIAL OZOLOTEPEC
20,355,SANTA ANA CUAUHTEMOC
20,110,SAN BALTAZAR LOXICHA
20,327,SAN PEDRO TEOZACOALCO
20,134,SAN FRANCISCO CAHUACUA
20,210,SAN JUAN ÐUMI
20,515,SANTO DOMINGO TEHUANTEPEC
20,561,VILLA DIAZ ORDAZ
20,105,SAN ANTONIO HUITEPEC
20,334,SAN PEDRO Y SAN PABLO TEPOSCOLULA
20,296,SAN PABLO VILLA DE MITLA
20,7,ASUNCION NOCHIXTLAN
20,550,TLACOLULA DE MATAMOROS
20,28,HEROICA CIUDAD DE EJUTLA DE CRESPO
20,537,SOLEDAD ETLA
20,570,ZIMATLAN DE ALVAREZ
20,468,SANTIAGO JAMILTEPEC
20,174,SAN JUAN BAUTISTA COIXTLAHUACA
20,411,SANTA MARIA ECATEPEC
20,484,SANTIAGO PINOTEPA NACIONAL
20,511,SANTO DOMINGO NUXAA
20,217,SAN JUAN TAMAZOLA
20,429,SANTA MARIA QUIEGOLANI
20,273,SAN MIGUEL PIEDRAS
30,1,ACAJETE
20,123,SAN CRISTOBAL AMATLAN
20,252,SAN MATEO RIO HONDO
20,414,SANTA MARIA HUATULCO
20,6,ASUNCION IXTALTEPEC
20,14,CANDELARIA LOXICHA
21,68,GUADALUPE VICTORIA
21,50,CHICONCUAUTLA
20,177,SAN JUAN BAUTISTA JAYACATLAN
20,175,SAN JUAN BAUTISTA CUICATLAN
21,62,ELOXOCHITLAN
21,41,CUAUTINCHAN
21,33,COHETZALA
21,15,AMOZOC
21,74,HUEHUETLAN EL CHICO
21,110,PAHUATLAN
21,198,XICOTLAN
21,59,CHILCHOTLA
21,14,AMIXTLAN
20,90,SAN ANDRES LAGUNAS
21,23,ATZITZINTLA
21,29,CAÐADA MORELOS
21,46,CHALCHICOMULA DE SESMA
21,47,CHAPULCO
21,64,ESPERANZA
21,177,SAN SEBASTIAN TLACOTEPEC
21,96,LIBRES
21,195,VICENTE GUERRERO
21,113,PETLALCINGO
22,2,ARROYO SECO
22,5,CORREGIDORA
21,49,CHIAUTZINGO
21,133,SAN MARTIN TEXMELUCAN
20,146,SAN FRANCISCO SOLA
20,470,SANTIAGO JUXTLAHUACA
20,446,SANTA MARIA YOSOYUA
20,208,SAN JUAN MIXTEPEC
20,553,HEROICA CIUDAD DE TLAXIACO
20,496,SANTIAGO XANICA
20,131,SAN FELIPE JALAPA DE DIAZ
20,516,SANTO DOMINGO TEOJOMULCO
20,569,ZAPOTITLAN PALMAS
20,188,SAN JUAN CIENEGUILLA
20,21,CONCEPCION BUENAVISTA
20,265,SAN MIGUEL DEL PUERTO
20,476,SANTIAGO MATATLAN
20,18,COATECAS ALTAS
20,428,SANTA MARIA PEÐOLES
20,548,TEPELMEME VILLA DE MORELOS
26,30,NOGALES
14,55,LAGOS DE MORENO
15,1,ACAMBAY DE RUIZ CASTAÐEDA
15,3,ACULCO
15,4,ALMOLOYA DE ALQUISIRAS
15,8,AMATEPEC
16,92,TING?INDIN
19,45,SABINAS HIDALGO
19,22,GRAL. TERAN
20,332,VILLA DE TUTUTEPEC
21,92,JUAN C. BONILLA
24,37,TAMAZUNCHALE
24,23,RAYON
24,19,LAGUNILLAS
24,32,SANTA CATARINA
21,34,COHUECAN
21,164,TEPEMAXALCO
21,91,JOPALA
15,81,SULTEPEC
15,125,TONANITLA
30,97,LANDERO Y COSS
24,42,TANQUIAN DE ESCOBEDO
26,69,YECORA
26,68,ROSARIO
26,67,QUIRIEGO
15,110,TULTITLAN
15,27,CHAPA DE MOTA
15,70,PAPALOTLA
24,18,HUEHUETLAN
30,199,ZARAGOZA
16,20,CUITZEO
16,22,CHARO
21,168,TEPEXI DE RODRIGUEZ
21,26,CALPAN
21,141,SAN PEDRO CHOLULA
21,60,CHINANTLA
21,27,CALTEPEC
21,85,IXTACAMAXTITLAN
21,208,ZACATLAN
16,79,SANTA ANA MAYA
16,53,MARCOS CASTELLANOS
16,56,MUGICA
16,24,CHERAN
16,25,CHILCHOTA
16,26,CHINICUILA
16,80,SALVADOR ESCALANTE
16,82,SUSUPUATO
16,83,TACAMBARO
16,84,TANCITARO
16,85,TANGAMANDAPIO
16,86,TANGANCICUARO
21,39,CUAPIAXTLA DE MADERO
22,14,QUERETARO
28,15,GUSTAVO DIAZ ORDAZ
28,16,HIDALGO
28,37,SOTO LA MARINA
22,16,SAN JUAN DEL RIO
22,9,LANDA DE MATAMOROS
22,8,JALPAN DE SERRA
22,18,TOLIMAN
22,12,PEÐAMILLER
23,8,SOLIDARIDAD
23,9,TULUM
23,5,JOSE MARIA MORELOS
27,12,MACUSPANA
27,16,TEAPA
28,8,CASAS
24,39,TAMPAMOLON CORONA
29,30,TERRENATE
29,31,TETLA DE LA SOLIDARIDAD
24,9,CERRO DE SAN PEDRO
29,28,TEOLOCHOLCO
24,26,SAN ANTONIO
24,46,VILLA DE ARISTA
30,164,TEPATLAXCO
24,14,COXCATLAN
30,3,ACAYUCAN
30,202,ZONTECOMATLAN
30,67,EMILIANO ZAPATA
30,155,TANTIMA
30,173,TIERRA BLANCA
30,22,ATOYAC
30,142,SAN ANDRES TUXTLA
30,127,PASO DE OVEJAS
30,15,NARANJOS AMATLAN
24,47,VILLA DE ARRIAGA
30,115,NAUTLA
30,116,NOGALES
24,17,GUADALCAZAR
30,122,OZULUAMA
30,123,PAJAPAN
30,124,PANUCO
30,126,PASO DEL MACHO
30,128,LA PERLA
31,84,TEMAX
24,49,VILLA DE LA PAZ
24,16,EBANO
30,55,CUITLAHUAC
30,56,CHACALTIANGUIS
30,26,AYAHUALULCO
30,27,BANDERILLA
30,28,BENITO JUAREZ
30,29,BOCA DEL RIO
30,30,CALCAHUALCO
30,57,CHALMA
30,58,CHICONAMEL
24,48,VILLA DE GUADALUPE
31,62,SACALUM
27,10,JALPA DE MENDEZ
32,48,TLALTENANGO DE SANCHEZ ROMAN
6,2,COMALA
6,10,TECOMAN
24,30,SAN NICOLAS TOLENTINO
24,8,CERRITOS
24,20,MATEHUALA
32,2,APULCO
32,3,ATOLINGA
30,114,NARANJAL
20,474,SANTIAGO LAXOPA
20,492,SANTIAGO TEXTITLAN
20,211,SAN JUAN OZOLOTEPEC
20,62,NATIVIDAD
20,451,SANTIAGO AMOLTEPEC
30,169,TEXCATEPEC
30,170,TEXHUACAN
20,405,SANTA MARIA CHIMALAPA
20,390,SANTA INES YATZECHE
20,209,SAN JUAN MIXTEPEC
31,82,TELCHAC PUEBLO
20,206,SAN JUAN LALANA
20,261,SAN MIGUEL AMATLAN
20,85,SAN ANDRES CABECERA NUEVA
20,442,SANTA MARIA XADANI
20,323,SAN PEDRO QUIATONI
20,307,SAN PEDRO IXCATLAN
20,173,SAN JUAN BAUTISTA ATATLAHUCA
20,466,SANTIAGO IXCUINTEPEC
20,67,OCOTLAN DE MORELOS
20,348,SAN SIMON ALMOLONGAS
20,499,SANTIAGO YAVEO
20,448,SANTA MARIA ZACATEPEC
31,87,TETIZ
31,11,CELESTUN
31,100,UCU
30,99,MAGDALENA
20,164,SAN JOSE CHILTEPEC
20,182,SAN JUAN BAUTISTA TUXTEPEC
20,232,SAN LUCAS OJITLAN
20,66,OAXACA DE JUAREZ
26,31,OQUITOA
31,74,TAHMEK
20,325,SAN PEDRO TAPANATEPEC
20,418,SANTA MARIA JACATEPEC
20,534,SILACAYOAPAM
21,3,ACATLAN
21,139,SAN NICOLAS DE LOS RANCHOS
21,147,SANTA INES AHUATEMPAN
21,67,GUADALUPE
21,152,TECALI DE HERRERA
21,69,HERMENEGILDO GALEANA
21,6,AHUACATLAN
21,16,AQUIXTLA
21,171,TETELA DE OCAMPO
21,200,XOCHIAPULCO
30,121,OTEAPAN
21,66,GENERAL FELIPE ANGELES
21,1,ACAJETE
21,130,SAN JOSE MIAHUATLAN
21,4,ACATZINGO
21,179,TLACHICHUCA
21,131,SAN JUAN ATENCO
21,116,QUECHOLAC
21,173,TEZIUTLAN
21,45,CUYOACO
21,106,OCOTEPEC
21,95,LAFRAGUA
21,117,QUIMIXTLAN
21,138,SAN NICOLAS BUENOS AIRES
21,51,CHICHIQUILA
21,90,JONOTLA
21,166,TEPETZINTLA
21,124,SAN FELIPE TEPATLAN
21,8,AHUAZOTEPEC
21,184,TLAPACOYA
21,86,IXTEPEC
21,73,HUEHUETLA
21,207,ZACAPOAXTLA
21,18,ATEXCAL
21,128,SAN JERONIMO XAYACATLAN
21,196,XAYACATLAN DE BRAVO
21,144,SAN SALVADOR EL VERDE
21,201,XOCHILTEPEC
21,158,TEOPANTLAN
21,105,NOPALUCAN
21,114,PIAXTLA
21,100,MOLCAXAC
21,123,SAN FELIPE TEOTLALCINGO
21,190,TOTOLTEPEC DE GUERRERO
30,100,MALTRATA
30,101,MANLIO FABIO ALTAMIRANO
21,108,OLINTLA
21,154,TECOMATLAN
21,83,IXCAMILPA DE GUERRERO
21,135,SAN MATIAS TLALANCALECA
21,122,SAN DIEGO LA MESA TOCHIMILTZINGO
21,24,AXUTLA
21,22,ATZITZIHUACAN
21,11,ALBINO ZERTUCHE
21,107,OCOYUCAN
30,136,RAFAEL LUCIO
31,47,MANI
21,140,SAN PABLO ANICANO
31,65,SAN FELIPE
21,70,HUAQUECHULA
21,120,SAN ANDRES CHOLULA
21,115,PUEBLA
21,84,IXCAQUIXTLA
21,163,TEPEACA
21,65,FRANCISCO Z. MENA
21,197,XICOTEPEC
21,194,VENUSTIANO CARRANZA
21,111,PALMAR DE BRAVO
21,183,TLAOLA
21,94,JUAN N. MENDEZ
21,185,TLAPANALA
21,44,CUETZALAN DEL PROGRESO
21,80,HUITZILAN DE SERDAN
21,169,TEPEYAHUALCO
21,79,HUEYTLALPAN
21,191,TULCINGO
21,202,XOCHITLAN DE VICENTE SUAREZ
24,24,RIOVERDE
24,27,SAN CIRO DE ACOSTA
24,28,SAN LUIS POTOSI
21,176,TLACOTEPEC DE BENITO JUAREZ
21,203,XOCHITLAN TODOS SANTOS
21,89,JOLALPAN
23,6,LAZARO CARDENAS
24,15,CHARCAS
24,11,CIUDAD FERNANDEZ
24,4,ARMADILLO DE LOS INFANTE
24,1,AHUALULCO
24,43,TIERRA NUEVA
26,44,VILLA HIDALGO
26,25,MAGDALENA
26,64,HUATABAMPO
31,21,CHICHIMILA
31,44,KINCHIL
24,52,VILLA HIDALGO
24,38,TAMPACAN
24,31,SAN VICENTE TANCUAYALAB
26,37,SANTA CRUZ
31,42,KANTUNIL
24,29,SAN MARTIN CHALCHICUAUTLA
24,33,SANTA MARIA DEL RIO
24,35,SOLEDAD DE GRACIANO SANCHEZ
25,7,CHOIX
25,6,CULIACAN
30,141,SAN ANDRES TENEJAPAN
30,151,TAMALIN
31,10,CANTAMAYEC
29,2,APETATITLAN DE ANTONIO CARVAJAL
30,204,TRES VALLES
31,93,TIXKOKOB
32,56,ZACATECAS
32,5,CALERA
32,55,VILLANUEVA
32,4,BENITO JUAREZ
1,10,SAN FRANCISCO DE LOS ROMO
1,8,SAN JOSE DE GRACIA
1,9,TEPEZALA
30,152,TAMIAHUA
30,153,TAMPICO ALTO
30,154,TANCOCO
30,157,TATATILA
30,158,TECOLUTLA
30,159,TEHUIPANGO
30,160,TEMPOAL
30,206,AGUA DULCE
30,171,TEXISTEPEC
30,186,TONAYAN
30,187,TOTUTLA
30,188,TUXPAN
30,180,TLALIXCOYAN
30,103,MARTINEZ DE LA TORRE
